location,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель,Базель
lat,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000,47.75000
lon,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000,7.50000
asl,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653,363.653
variable,Temperature,Temperature,Temperature,Precipitation Total,Wind Gust,Wind Gust,Wind Gust,Cloud Cover Total,Mean Sea Level Pressure,Mean Sea Level Pressure,Mean Sea Level Pressure,Temperature,Temperature,Temperature
unit,°C,°C,°C,mm,m/s,m/s,m/s,%,hPa,hPa,hPa,°C,°C,°C
level,2 m elevation corrected,2 m elevation corrected,2 m elevation corrected,sfc,sfc,sfc,sfc,sfc,MSL,MSL,MSL,sfc,sfc,sfc
resolution,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily,daily
aggregation,Maximum,Minimum,Mean,Summation,Maximum,Minimum,Mean,Mean,Maximum,Minimum,Mean,Maximum,Minimum,Mean
timestamp,Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Temperature [2 m elevation corrected],Базель Precipitation Total,Базель Wind Gust,Базель Wind Gust,Базель Wind Gust,Базель Cloud Cover Total,Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Mean Sea Level Pressure [MSL],Базель Temperature,Базель Temperature,Базель Temperature
20000131T0000,10.5602455,4.8302455,8.563995,0.1,13.1,3.0,9.9875,77.291664,1030.9,1027.0,1029.1542,9.36,0.44,5.3725
20000201T0000,12.750245,1.1102455,5.610245,0.0,5.7,3.4,4.5958333,42.295834,1029.7,1020.0,1024.7667,12.05,-1.11,3.3570833
20000202T0000,8.220245,3.5202456,6.024412,5.4,5.6,3.4,4.8124995,63.291668,1024.5,1018.2,1020.0666,6.83,0.13,3.3879166
20000203T0000,7.9502454,3.0902452,5.4902453,0.0,6.7,2.3,4.7125,81.583336,1038.2,1025.8,1033.7499,7.86,0.36,4.0087495
20000204T0000,8.540245,-0.99975455,3.7119124,0.0,4.0,1.5,2.875,28.604164,1039.7,1036.5,1038.3541,9.84,-2.9,1.52625
20000205T0000,13.700245,2.3502455,6.4619117,0.0,4.4,2.6,3.6708336,15.554166,1037.7,1030.3,1034.5294,13.71,-0.85,4.047083
20000206T0000,12.260245,2.4802454,6.2398286,0.0,6.2,3.8,5.0749993,24.362501,1030.2,1023.6,1027.0126,12.29,-0.13,3.9025
20000207T0000,10.490245,5.0702453,7.753161,0.70000005,12.1,4.4,8.429168,72.61667,1024.7,1022.3,1023.30835,9.53,1.47,4.984167
20000208T0000,11.680245,7.940245,9.711912,12.000001,17.6,11.2,13.945834,97.375,1021.9,1012.4,1017.09576,9.13,4.42,7.042917
20000209T0000,10.900246,4.110245,6.3435783,5.7999997,18.2,5.3,12.908333,56.708332,1032.0,1014.7,1024.8041,8.67,1.24,4.588334
20000210T0000,11.280245,0.8002454,5.461912,0.0,7.6,3.6,5.5416665,31.583334,1032.2,1021.1,1027.35,11.17,-3.04,3.173334
20000211T0000,7.9502454,0.6302454,5.0769114,10.3,9.4,3.8,7.3624997,81.25,1030.2,1021.3,1026.8458,6.25,-0.33,4.0433335
20000212T0000,5.150245,-0.3797546,1.8989955,0.0,9.6,1.5,4.983333,53.75,1029.9,1027.7,1028.7959,6.73,-3.48,0.78041667
20000213T0000,6.5302453,3.3002453,4.789829,12.299998,12.2,8.3,10.162499,97.333336,1029.3,1021.9,1024.8541,5.03,1.39,2.9854167
20000214T0000,8.080246,5.3002453,6.275246,2.9,7.9,2.1,4.1999993,89.875,1026.2,1022.8,1024.9917,7.62,2.37,4.7916665
20000215T0000,10.000245,6.000245,8.053996,3.6999998,11.1,4.6,8.754167,72.25,1022.9,1016.6,1020.50836,9.62,2.32,5.854166
